Date,symbol,Open,High,Low,Close,Volume
2024-10-21,603228,27.38,28.23,26.81,27.46,316380
2024-10-22,603228,27.41,27.94,27.02,27.67,230685
2024-10-23,603228,27.64,27.64,26.64,26.84,274178
2024-10-24,603228,26.4,26.87,26.18,26.75,144620
2024-10-25,603228,26.87,27.53,26.65,27.26,191933
2024-10-28,603228,26.15,26.34,24.61,25.36,537443
2024-10-29,603228,25.24,25.53,24.89,24.91,322018
2024-10-30,603228,24.78,25.28,24.55,24.99,269562
2024-10-31,603228,24.89,25.08,24.38,25.03,246132
2024-11-01,603228,24.89,25.42,24.51,24.7,227094
2024-11-04,603228,24.6,25.23,24.6,24.9,194550
2024-11-05,603228,24.89,25.93,24.7,25.76,346252
2024-11-06,603228,25.81,25.9,25.12,25.32,287193
2024-11-07,603228,25.13,25.74,25.0,25.69,231456
2024-11-08,603228,26.04,26.69,25.87,26.01,314972
2024-11-11,603228,25.85,27.21,25.78,27.21,351543
2024-11-12,603228,27.19,27.2,26.34,26.65,276661
2024-11-13,603228,26.45,26.98,26.15,26.84,246504
2024-11-14,603228,26.87,27.01,25.72,25.76,208274
2024-11-15,603228,25.6,26.06,25.15,25.18,167445
2024-11-18,603228,25.18,25.37,24.09,24.19,193527
2024-11-19,603228,24.38,24.85,24.23,24.79,176728
2024-11-20,603228,24.66,24.91,24.51,24.79,135508
2024-11-21,603228,24.71,24.76,24.32,24.54,121907
2024-11-22,603228,24.54,24.63,23.45,23.45,153223
2024-11-25,603228,23.53,23.59,22.94,23.32,114066
2024-11-26,603228,23.37,24.11,23.27,23.83,130756
2024-11-27,603228,23.53,24.5,23.19,24.5,159240
2024-11-28,603228,24.5,24.5,23.96,24.04,96863
2024-11-29,603228,24.14,24.6,23.92,24.26,119359
